samples,HitRate_at_K,MAP_at_K,NDCG_at_K,Mean_rank_when_hit
20,1.0,0.925,0.9446394630357187,1.15
20,1.0,0.975,0.9815464876785729,1.05
20,1.0,0.975,0.9815464876785729,1.05
20,1.0,0.975,0.9815464876785729,1.05
20,1.0,0.975,0.9815464876785729,1.05
20,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,1.0
