ground_truth,model,metric,estimate,ci_low,ci_high,confidence,n_resamples
single_label,Exact KNN | cosine,MAP@K,0.9738636363636364,0.9625,0.9829545454545454,0.95,2000
single_label,Exact KNN | cosine,NDCG@K,0.9807076916639625,0.9723197315178593,0.9874180597808452,0.95,2000
single_label,Exact KNN | euclidean,MAP@K,0.9893939393939395,0.9821969696969698,0.9954545454545455,0.95,2000
single_label,Exact KNN | euclidean,NDCG@K,0.9921532682467538,0.9868229245373386,0.9966448159415586,0.95,2000
single_label,Exact KNN | manhattan,MAP@K,0.9920454545454546,0.9852272727272727,0.9965909090909091,0.95,2000
single_label,Exact KNN | manhattan,NDCG@K,0.9941284278977277,0.9890956518100658,0.9974836119561691,0.95,2000
single_label,KNN + K-Means++ | cosine,MAP@K,0.9784090909090909,0.9681818181818181,0.9875,0.95,2000
single_label,KNN + K-Means++ | cosine,NDCG@K,0.9840628757224039,0.976513711590911,0.9907732438392864,0.95,2000
single_label,KNN + K-Means++ | euclidean,MAP@K,0.9905303030303031,0.9837026515151515,0.9965909090909091,0.95,2000
single_label,KNN + K-Means++ | euclidean,NDCG@K,0.9929920642613641,0.9878992898037751,0.9974836119561691,0.95,2000
single_label,KNN + K-Means++ | manhattan,MAP@K,0.9920454545454546,0.9852272727272727,0.9965909090909091,0.95,2000
single_label,KNN + K-Means++ | manhattan,NDCG@K,0.9941284278977277,0.9890956518100658,0.9974836119561691,0.95,2000
weak_multilabel,Exact KNN | cosine,MAP@K,0.9077651515151516,0.8926508838383838,0.9216445707070707,0.95,2000
weak_multilabel,Exact KNN | cosine,NDCG@K,0.9430712382771221,0.9320212536875346,0.9530559558478959,0.95,2000
weak_multilabel,Exact KNN | euclidean,MAP@K,0.9110227272727274,0.8966890782828284,0.9242550505050505,0.95,2000
weak_multilabel,Exact KNN | euclidean,NDCG@K,0.9459911394167166,0.9359773436782105,0.9556176035541077,0.95,2000
weak_multilabel,Exact KNN | manhattan,MAP@K,0.9200883838383839,0.9077651515151516,0.9316922348484848,0.95,2000
weak_multilabel,Exact KNN | manhattan,NDCG@K,0.955428917830886,0.947246754322311,0.9628191069093099,0.95,2000
weak_multilabel,KNN + K-Means++ | cosine,MAP@K,0.8983207070707071,0.8832430555555554,0.9123749999999999,0.95,2000
weak_multilabel,KNN + K-Means++ | cosine,NDCG@K,0.9377790647692463,0.9268435432239466,0.9479647769815756,0.95,2000
weak_multilabel,KNN + K-Means++ | euclidean,MAP@K,0.9087373737373737,0.8944441287878787,0.9220959595959595,0.95,2000
weak_multilabel,KNN + K-Means++ | euclidean,NDCG@K,0.945676167104024,0.9356413276379977,0.954965989400376,0.95,2000
weak_multilabel,KNN + K-Means++ | manhattan,MAP@K,0.9163636363636364,0.903458648989899,0.9288260732323232,0.95,2000
weak_multilabel,KNN + K-Means++ | manhattan,NDCG@K,0.9519100874048307,0.943198169368859,0.9600470868659904,0.95,2000
