original_label,weak_relevant_crops,relevant_count
orange,orange|pomegranate,2
banana,banana|watermelon,2
cotton,cotton|watermelon,2
maize,maize|banana,2
orange,orange|pomegranate,2
chickpea,chickpea|kidneybeans,2
rice,rice|jute,2
blackgram,blackgram|lentil|mothbeans,3
banana,banana|maize,2
orange,orange|pomegranate,2
watermelon,watermelon|muskmelon,2
pomegranate,pomegranate|orange,2
watermelon,watermelon|muskmelon,2
maize,maize|cotton,2
mothbeans,mothbeans|pigeonpeas,2
grapes,grapes|apple,2
grapes,grapes|apple,2
mango,mango|mothbeans,2
mango,mango|mothbeans,2
apple,apple|grapes,2
blackgram,blackgram|mothbeans,2
apple,apple|grapes,2
mothbeans,mothbeans|mungbean,2
kidneybeans,kidneybeans|pigeonpeas,2
apple,apple|grapes,2
jute,jute|rice,2
mothbeans,mothbeans|pigeonpeas,2
watermelon,watermelon|muskmelon,2
rice,rice|jute,2
coffee,coffee|jute,2
mango,mango|coconut,2
jute,jute|coconut,2
banana,banana|watermelon,2
coffee,coffee|jute,2
jute,jute|rice,2
blackgram,blackgram|lentil,2
grapes,grapes|apple,2
grapes,grapes|apple,2
blackgram,blackgram|lentil|pigeonpeas,3
jute,jute|rice,2
coconut,coconut|pomegranate,2
papaya,papaya|mungbean,2
mango,mango|mothbeans,2
maize,maize|coffee,2
lentil,lentil|mungbean,2
jute,jute|coffee,2
cotton,cotton|maize,2
lentil,lentil|pigeonpeas,2
chickpea,chickpea|kidneybeans,2
mungbean,mungbean|lentil|mothbeans,3
papaya,papaya|jute,2
pomegranate,pomegranate|orange,2
pigeonpeas,pigeonpeas|mango,2
watermelon,watermelon|muskmelon,2
mango,mango|mothbeans,2
blackgram,blackgram|mothbeans,2
papaya,papaya|banana,2
papaya,papaya|jute,2
coffee,coffee|jute,2
lentil,lentil|mothbeans|pigeonpeas,3
lentil,lentil|mothbeans,2
mothbeans,mothbeans|blackgram,2
coffee,coffee|cotton,2
banana,banana|maize,2
papaya,papaya|jute,2
rice,rice|jute,2
orange,orange|mungbean,2
coconut,coconut|rice,2
blackgram,blackgram|mothbeans,2
pomegranate,pomegranate|orange,2
banana,banana|maize,2
muskmelon,muskmelon|watermelon,2
watermelon,watermelon|muskmelon,2
lentil,lentil|blackgram,2
banana,banana|maize,2
coconut,coconut|rice,2
mothbeans,mothbeans|pigeonpeas,2
mungbean,mungbean|lentil|mothbeans,3
mungbean,mungbean|mothbeans,2
mango,mango|pigeonpeas,2
coffee,coffee|cotton,2
watermelon,watermelon|muskmelon,2
muskmelon,muskmelon|watermelon,2
kidneybeans,kidneybeans|chickpea,2
mango,mango|mothbeans,2
pomegranate,pomegranate|orange,2
orange,orange|pomegranate,2
cotton,cotton|watermelon,2
coconut,coconut|pomegranate,2
papaya,papaya|jute,2
mothbeans,mothbeans|mungbean,2
mungbean,mungbean|mothbeans,2
mothbeans,mothbeans|mango,2
cotton,cotton|watermelon,2
jute,jute|rice|papaya,3
grapes,grapes|apple,2
cotton,cotton|watermelon,2
chickpea,chickpea|kidneybeans,2
jute,jute|rice,2
watermelon,watermelon|muskmelon,2
muskmelon,muskmelon|watermelon,2
pomegranate,pomegranate|orange,2
orange,orange|pomegranate,2
pigeonpeas,pigeonpeas|mango,2
pigeonpeas,pigeonpeas|kidneybeans,2
grapes,grapes|apple,2
kidneybeans,kidneybeans|pigeonpeas,2
lentil,lentil|mothbeans|mungbean,3
rice,rice|jute,2
rice,rice|jute,2
apple,apple|grapes,2
mungbean,mungbean|mothbeans,2
mungbean,mungbean|mothbeans,2
grapes,grapes|apple,2
rice,rice|jute,2
muskmelon,muskmelon|watermelon,2
blackgram,blackgram|lentil,2
lentil,lentil|maize,2
banana,banana|maize,2
orange,orange|papaya,2
orange,orange|pomegranate,2
chickpea,chickpea|mothbeans,2
maize,maize|cotton,2
mango,mango|blackgram,2
maize,maize|banana,2
lentil,lentil|mothbeans,2
banana,banana|maize,2
pomegranate,pomegranate|orange,2
coconut,coconut|rice,2
mungbean,mungbean|lentil|mothbeans,3
cotton,cotton|watermelon,2
chickpea,chickpea|kidneybeans,2
jute,jute|rice|coffee,3
mungbean,mungbean|lentil|mothbeans,3
mothbeans,mothbeans|blackgram,2
maize,maize|watermelon,2
apple,apple|grapes,2
chickpea,chickpea|kidneybeans,2
rice,rice|jute,2
maize,maize|cotton,2
cotton,cotton|watermelon,2
jute,jute|rice,2
pomegranate,pomegranate|orange,2
mango,mango|pigeonpeas,2
rice,rice|jute,2
papaya,papaya|blackgram,2
banana,banana|cotton,2
orange,orange|pomegranate,2
pigeonpeas,pigeonpeas|mango,2
lentil,lentil|pigeonpeas,2
maize,maize|banana,2
